book_id,isbn,Title,Authors,Description,Category,Publisher,Publish Date,Price
121,9789170029493,Best Friends: The True Story of the World's Most Beloved Animal Sanctuary,"By Glen, Samantha and Moore, Mary Tyler (INT)","""Sinjin the badly burned black cat.  .  .who survived to welcome others home Victor the abandoned Australian Shepherd mix.  .  . the capo among dogs Tyson and Tommy, two tiny black kittens.  .  .who had something to teach us allDiscover Best Friends A Place Where Every Animal Is Safe.  .  .Loved.  .  .And Never, Ever KilledIn the summer of 1982, a group of young men and women pooled every penny they had and bought 3,000 acres of high desert called Angel Canyon, Utah.  It was to become the most famous ""no--kill"" animal sanctuary in the world.  .  .a haven for over 2000 furry and feathered friends including stiff--legged Benton who is ""chairpurrson"" of the TLC club.  .  .the infamous Goatie, comforter of horses.  .  .Baa Baa Ram Das, the sheep who teaches lessons.  .  .and Amra, the gigantic Malamute who is sheriff of Dogtown backed up by his deputy Rhonda, the tiny terrier who took one look at him and fell in love."," Nature , Animals , General",Kensington Books,"Thursday, February 1, 2001",Price Starting at $4.89
122,9789939049151,"Prudens futuri: The US Army War College, 1901-1967","By Pappas, George S.",,,Alumni Association of the US Army War College,"Sunday, January 1, 1967",Price Starting at $6.24
123,9787904599922,Joshua: A Parable for Today,"By Girzone, Joseph F.",An allegorica tale about a quiet and unassuming young man whose powerful presence changes the lives of his small town neighbors,,MacMillan Publishing Company.,"Tuesday, September 1, 1987",Price Starting at $5.29
124,9784488080747,Things Not Seen and Other Stories,"By Williams, Lynna",," Fiction , General",Little Brown & Co,"Friday, May 1, 1992",Price Starting at $5.29
125,9780586211311,Putting the One Minute Manager to Work: How to Turn the 3 Secrets into Skills,"By Blanchard, Kenneth H. and Lorber, Robert",,,Jossey-Bass Inc Pub,"Wednesday, February 1, 1984",Price Starting at $5.29
126,9782579169937,The Spiritual Life of Children,"By Coles, Robert","In this eighth and final volume in his Pulitzer Prize­winning Children of Crisis series, Coles examines the religious and spiritual lives of children. By using children's own words and pictures, Coles presents their deepest feelings."," Psychology , Developmental , Child",HarperOne,"Tuesday, October 1, 1991",Price Starting at $4.99
127,9784130449700,Constancia and Other Stories for Virgins,"By Fuentes, Carlos and Christensen, Thomas (TRN)","Renowned as a novelist of unsurpassed invention, Carlos Fuentes here presents his second collection of stories to appear in English. Where his first,Burnt Water, published in 1980, had as its underlying theme Mexico City itself,Constancia and Other Stories for Virgins extends its imaginative boundaries out to Savannah, to Cadiz, to Glasgow, to Seville and Madrid, both past and present. This new collection is more mysterious, more magical, too, than its predecessor, and in its five related stories Fuentes comes closer to the registers of language and feeling that he explored so memorably inAura. It reveals Fuentes at the height of his powers--bold, erudite, enthralling.In the title story, a man discovers his wife's secret complicity with the Russian actor who is their neighbor--a complicity that includes not just a previous life but possibly a previous death as well. He finds himself ""a mediator . . . a point between one sorrow and the next, between one hope and the next, between two languages, two memories, two ages, and two deaths."" In ""La Desdichada,"" two students steal--and fall in love with--a store-window mannequin. In ""The Prisoner of Las Lomas,"" a wealthy lawyer in possession of a powerful secret is held hostage by the past he has attempted to subvert and keep at bay. The celebrated bullfighter whose fame is the theme of ""Viva Mi Fama"" steps from the present into a past immortalized by Goya's portrait of the matador Pedro Romero; and the architects who are the ""Reasonable People"" of that story find themselves drawn into the irrational mysteries not only of religious fervor but of their famous mentor's identity--they discover ""there are no empty houses,"" only a present fraught with the past.Though each of these novella-length stories offers compelling evidence of Fuentes's talent for narrative free rein as well as for containment and closure, they are also brilliantly interwoven. Readers of his earlier work, especially of his acclaimed ribald epic, Christopher Unborn, will recognize with pleasure Fuentes's undiminished mastery of recurrent images and themes, and all readers will delight in the witty and evocative changes he rings on them. For those few readers who do not yet know the work of Mexico's foremost man of letters, these stories offer them the full gift of his imaginative resourcefulness."," Fiction , Short Stories (single author)","Farrar, Straus and Giroux","Sunday, April 1, 1990",Price Starting at $5.29
128,9787241269885,May I Have This Dance?,"By Rupp, Joyce and Veeder, Judith (ILT)",," Religion , Devotional",Ave Maria Pr,"Wednesday, July 1, 1992",Price Starting at $4.89
129,9781826196146,"Meditations from Conversations with God: An Uncommon Dialogue, Book 1 (Conversations with God Series)","By Walsch, Neale Donald",," Religion , Meditations",TarcherPerigee,"Monday, September 1, 1997",Price Starting at $5.29
130,9787439035292,Washington bowed,"By McKeldin, Theodore R",,,Maryland Historical Society,"Sunday, January 1, 1956",Price Starting at $16.16
131,9788597446654,Chagall,"By Compton, Susan P.",," Art , General","""Harry N. Abrams, Inc.""","Wednesday, May 1, 1985",Price Starting at $10.99
132,9780805960006,Ride a Pale Horse,"By MacInnes, Helen",," Fiction , Mystery & Detective , General",Harcourt,"Monday, October 1, 1984",Price Starting at $5.29
133,9788215995663,Listening to Prozac: A Psychiatrist Explores Antidepressant Drugs and the Remaking of the Self,"By Kramer, Peter D.","Kramer (psychiatry, Brown U.) writes on ""the capacity of modern medication to allow a person to experience, on a stable and continuing basis, the feelings of someone with a different temperament and history,"" as ""one born with a different genome and exposed to a more benign world in childhood""--p.195. Annotation copyright Book News, Inc. Portland, Or."," Psychology , Psychopathology , Depression",Viking Adult,"Tuesday, June 1, 1993",Price Starting at $4.99
134,9786743927972,"The Big Garage on Clear Shot: Growing Up, Growing Old, and Going Fishing at the End of the Road","By Bodett, Tom",," Fiction , General",William Morrow & Co,"Saturday, September 1, 1990",Price Starting at $4.99
135,9780935922950,Life Stories,"By Newbold, Heather (EDT)","""This unusual collection of conversations with leading environmental thinkers breaks down the conventional separation between thinking and living. The presentations of ecological ideas are not only superior but often eloquent and powerful, and incorporate the latest information available. Since many of the chapters give quite full accounts of the interviewees' careers, the book will also provide inspiration to young readers."" --Ernest Callenbach, author of Ecology: A Pocket Guide""The recurring theme of environmental emergency comes through loud and clear in all of the interviews, but this book also shows that it is people who make things happen, not the great gray 'they' or 'we.' We learn exactly who it was that discovered the hole in the ozone layer and who invented the ideas of Gaia and the Population Bomb. . . . If I had my way I would make this book required reading for students across all disciplines, because its message is profound, urgent, compelling, and relevant to everyone.""--Anthony J. F. Griffiths, University of British Columbia, Winner of the Genetics Society of Canada Award of Excellence""Life Stories should be required reading. The reverence for life expressed by these heroes is deeply moving. Their fierce determination ought to inspire all of us as we confront the environmental challenges of the new millennium."" --Denis Hayes, International Chair, Earth Day 2000""We start the twenty-first century with a heightened awareness that our planet is under stress. Life Stories illustrates that the human spirit has the capacity to set forces in motion that will save our habitat. Heather Newbold introduces us to scientists who have probed the mysteries of our natural systems and taken action so our Earth can heal itself. As we meet them, our own hope for the future is inspired.""--Peter A. A. Berle, host of The Environment Show on Public Radio""These mini-autobiographies are captivating, challenging, and worrisome. We can successfully meet the challenge, but will we? This is attention-grabbing stuff. Once you start reading this book it will capture and hold you to the last page.""--Senator Gaylord Nelson, founder of Earth Day"," Science , Environmental Science",University of California Press,"Saturday, April 1, 2000",Price Starting at $4.99
136,9788723983473,Houghton Mifflin Invitations to Literature: Student Anthology Level 1.3 Share 1997 (Invitations to Lit 1997),By Hm (COR),," Juvenile Nonfiction , Language Arts , General",Houghton Mifflin,"Tuesday, October 1, 1996",Price Starting at $5.94
137,9780045555185,Grow Greener: Ten Steps to a Richer Life,"By Hoxton, Rob",,,"Robinson Hoxton Publishing, LLC","Thursday, November 1, 2001",Price Starting at $5.29
138,9786934736086,"Frames of Reference: Looking at American Art, 1900-1950: Works from the Whitney Museum of American Art","By Fraser, Kennedy, Whitney Museum of American Art (COR), Weinberg, Adam D., and Venn, Beth",," Art , History , General",University of California Press,"Saturday, January 1, 2000",Price Starting at $6.42
139,9784884627775,Remembering Main Street: An American Album,"By Ross, Pat","These evocative biographies of ten still-authentic towns will delight preservationists, travel and Americana buffs, and all who have a fondness for American social history and popular culture.Pat Ross grew up in Main Street America, and here she returns to explore how Main Street itself grew up - commercially, culturally, and architecturally. By investigating the histories of the corner drugstore or courthouse, for example, or by profiling local merchants, artists, and town legends - both heroes and scoundrels - the author evokes the special spirit of these towns, showing how each represents some phase of American history and how each has weathered adversity and given new life to its economy."," History , United States , General",Studio,"Tuesday, November 1, 1994",Price Starting at $10.99
140,9781723913716,Spicy,"By Hayes, Alan",,,Harpercollins Publisher,"Thursday, December 1, 1994",Price Starting at $4.99
141,9785288446184,Pope John Paul II,"By Szulc, Tad",," Biography & Autobiography , Religious",Scribner,"Saturday, April 1, 1995",Price Starting at $4.99
142,9786217170972,"The Virgin Homeowner: The Essential Guide to Owning, Maintaining, and Surviving Your Home","By Papolos, Janice",," House & Home , Reference",Penguin Books,"Monday, March 1, 1999",Price Starting at $5.29
143,9781344638388,"Fight Fat After Forty: The Revolutionary Three-Pronged Approach That Will Break Your Stress-Fat Cycle and Make You Healthy, Fit, and Trim for Life","By Peeke, Pamela","It's a fact: stress makes you fat. Renowned clinician and scientist Dr. Pamela Peeke goes beyond diet and exercise with a lifestyle program that shows women how to stop being diet ""POWs"" (""Prisoners Of Weight"") or victims of ""Toxic Stress"" and how to evolve into physically and mentally stress-resilient individuals. Peeke helps women identify their stress-eating profiles (Are you a stress-overeater? A stress-undereater?) and explains that to remove weight, you have to lift weight. She explains what to eat and, equally as important, when to eat by navigating the afternoon ""CortiZone,"" the hours of highest vulnerability to stress eating. Learn how to put it all together through the fine art of regrouping.Women can tailor this accessible program to their individual needs using Peeke's three behavior templates:* Stress-resilient nutrition* Stress-resilient physical activity* Stress-resilient regroupingDr. Peeke's program is a must for women who want to break the stress-fat cycle that has thickened their after-forty waistlines."," Health & Fitness , Diet & Nutrition , Diets",Penguin Books,"Tuesday, May 1, 2001",Price Starting at $4.99
144,9783565323906,Leadership Presence,"By Halpern, Belle Linda and Lubar, Kathy",," Business & Economics , Motivational",Avery,"Friday, October 1, 2004",Price Starting at $5.29
145,9788777282003,The Golden Christmas Tree,"By Weisgard, Leonard (ILT) and Wahl, Jan",A simple yet poignant Christmas story tells of the joy and cheer visited upon the world by the animals as they gather to decorate a holiday tree," Juvenile Fiction , General",Golden Books,"Saturday, October 1, 1988",Price Starting at $4.99
146,9783949525421,The Age of Uncertainty,"By Galbraith, John Kenneth","The distinguished diplomat and economist surveys the ideas and influence of economists and social philosophers, from Adam Smith's day to the present, contrasting the certainties in nineteenth-century economic thought with the uncertainty of today's"," Business & Economics , General",Houghton Mifflin Harcourt,"Saturday, January 1, 1977",Price Starting at $10.99
147,9787715660675,Global Literacies: Lessons on Business Leadership and National Cultures,"By Rosen, Robert (EDT), Digh, Patricia, Singer, Marshall, and Phillips, Carl","Throughout the world, languages differ, but the business questions are the same. In French and Japanese, Hebrew and English, executives are asking, ""How can I survive and thrive in the borderless, global marketplace?""  For answers, the authors of Global Literacies went straight to the leaders themselves -- the CEOs of thousands of corporations around the globe.  Two lessons emerged. First, there are leadership universals that every executive and manager needs to practice in order to be world-class at home and abroad. The second defied conventional wisdom: in the borderless economy, culture doesn't matter less, it matters more.  Around the world, business leaders apply their own experiences -- personal, professional, and cultural -- to an ever-expanding world of Dutch colleagues, Brazilian suppliers, Taiwanese manufacturers, and Chinese competitors. These leaders are trying to become globally literate...and Global Literacies is for, and about, them.  No one knows this better than CEOs of successful global companies such as Japan's Canon, Sweden's Ericsson, Taiwan's Acer Computers, the U.K.'s British Telecommunications, and U.S.-based Coca-Cola.  In Global Literacies, a team of researchers led by Robert Rosen, Ph.D., of Healthy Companies International, and Watson Wyatt Worldwide have produced the first model of international business success based on a wide-ranging landmark study of global leaders and their world-class companies. Global Literacies documents the exclusive results of a worldwide survey of over one thousand senior executives and in-depth interviews with CEOs of seventy-eight companies -- companies representing 3.5 million employees in more than 200 countries, and with more than $725 billion in annual sales.  Global Literacies offers compelling new insights and business tools:  The Global Leadership Universals  Learn the new literacies of business:  * Personal Literacy -- understanding and valuing yourself * Social Literacy -- engaging and challenging people * Business Literacy -- focusing and mobilizing your business * Cultural Literacy -- valuing and leveraging cultural difference  The Global Success Quotient  Learn which are the most globally active, financially successful companies -- and countries -- in the world, understand how they got there, and apply those learnings to your own organization.  The Cultures of Twenty-first-Century Business  Develop ways to see global challenges and opportunities, think with an international mindset, act with fresh global-centric leadership behaviors, and mobilize world-class companies -- whether you're a multinational giant, a domestic manufacturer, or a local community organization.  National Profiles  With sophisticated profiles of thirty countries, and survey data from eighteen national cultures -- from the Tolerant Traders of the Netherlands to China's Ancient Modernizers and the Optimistic Entrepreneurs of the United States, Global Literacies is a groundbreaking and fascinating work on the most important issues in the world of business today."," Business & Economics , Management",Simon & Schuster,"Wednesday, November 1, 2000",Price Starting at $4.99
148,9782748508987,Results: The Key to Continuous School Improvement,"By Schmoker, Michael J.",," Education , Educational Policy & Reform , General",Assn for Supervision & Curriculum,"Monday, April 1, 1996",Price Starting at $4.99
149,9787582688246,Trailside Guide: Fly Fishing,"By Hildebrand, Ron (ILT) and Merwin, John","Norton proudly reissues these best-selling guides with fully revised ""Sources &  Resources"" sections (including where to  find the Web sites, gear, services, books,  clubs, and organizations that make for foolproof outings); updates to reflect the latest in gear  technology, wilderness medicine, and first aid;  and advances in techniques.You can take it  with you: Trailside Guides are designed to be  used on the trail. Their handy size makes them  easy to take along on outdoor  adventures.Picture this: Trailside Guides show  you how it's done. Each book has more than 100  color photographs and dozens of informative,  full-color technical illustrations you'll refer to again and again.Buying Guide: Each Guide has  all the information readers need to make  informed decisions about what gear is available, and what they should buy.Step-by-step: Tutorials take readers through every aspect of a given  outdoor activity. Each Guide covers planning and preparing for a trip, getting in shape,  technique, safety, and first-aid tips, and how  to have more fun along the way!Easy to use:  Trailside Guides provide information quickly.  Every book contains detailed illustrations,  information-packed sidebars, and a complete  index and bibliography.Technique tips: Any  physical activity is more fun when it's done  right. Trailside Guides are written by experts  and contain lucid explanations that help the  reader quickly achieve proficiency.It's a  big world out there. Get into it with the  Trailside Guides."," Sports & Recreation , Fishing",W. W. Norton & Company,"Monday, January 1, 1996",Price Starting at $19.25
150,9789355754707,I Wish I Had a Red Dress,"By Cleage, Pearl","Joyce Mitchell was widowed far too young when her beloved husband, Mitch, died in a tragic accident five years ago. Since then she's kept her hands full and her mind and heart occupied by running The Sewing Circus, an all-girl group she founded to provide badly needed services like day care and job counseling to young women, many of whom are single mothers. More important, The Circus is a place for lively, wide-ranging, heart-to-heart discussions that will help members grow into what Joyce likes to call ""twenty-first-century free women.""All in all, Joyce has a full and rich life. She has her work, her family, her friends, and her town. But there are some nights when she crawls into bed alone and has to admit that something is missing. What she doesn't have is that red dress she keeps dreaming about or a social life that would accommodate it even if she braved the mail and bought one. To further complicate matters, she may not have The Sewing Circus much longer, as the state legislature has decided not to fund the group's vital but hard-todefine work with young women who are too often regarded as problems rather than possibilities.Feeling defeated and pessimistic, Joyce reluctantly agrees to keep a date for dinner at the home of her best friend, Sister -- a reverend like no other-and finds not only a perfect meal but a tall, dark stranger named Nate Anderson. Nate has just joined the administration at the high school and his unexpected presence in Idlewild touches a chord in Joyce that she thought her heart had forgotten how to play. Nate feels the same immediate connection, but both have enough experience with broken hearts to take it real slow. Besides, they've got too much work to do to concentrate on falling in love....But life moves at its own pace, and as Sister says, ""if you want to make God laugh, make plans."" Particularly when it comes to matters of the heart. Joyce decides the trick is to stay focused and to remember that nothing is as sexy as the truth, the whole truth, and nothing but the truth, especially if you tell it while you're wearing a perfect red dress...."," Fiction , Literary",William Morrow,"Sunday, July 1, 2001",Price Starting at $5.29
1,9786165172868,Goat Brothers,"By Colton, Larry",," History , General",Doubleday,"Friday, January 1, 1993",Price Starting at $8.79
6,9787686945825,The Foundation of Leadership: Enduring Principles to Govern Our Lives,"By Short, Bo",,,Excalibur Press,"Wednesday, January 1, 1997",Price Starting at $6.06
11,9789381666227,The Dieter's Guide to Weight Loss During Sex,"By Smith, Richard","A humor classic, this tongue-in-cheek diet plan bases calorie counts on sexual activity and charts the exact number of calories burned.""You and your friends can read this book aloud while sitting on the beach and shed a combined total of ten thousand calories in thirty-three minutes. Yes, it's that funny.""-Glamour. Selection of the Quality Paperback Book and Playboy book clubs and a New York Times Bestseller. 935,000 copies in print."," HEALTH & FITNESS , DIET & NUTRITION , DIETS",Workman Publishing Company,"Sunday, January 1, 1978",Price Starting at $4.99
21,9781076924292,The Great ABC Treasure Hunt: A Hidden Picture Alphabet Book (Time-Life Early Learning Program),"By Time-Life for Children (Firm) (COR), Singer, Muff, and Hoggan, Pat (ILT)",," JUVENILE NONFICTION , GENERAL",Time Life Education,15/03/2020,Price Starting at $5.29
